 Shell#     R/Rsun       M/Msun       Cs               Rho
    222   0.12472205  0.12739009  4.99560470E+02  1.84783020E+00  7.08177431E+00
    223   0.12528460  0.12870406  4.99322063E+02  1.84569510E+00  7.08098121E+00
    224   0.12584981  0.13002962  4.99080337E+02  1.84354816E+00  7.08018328E+00
    225   0.12641772  0.13136692  4.98835284E+02  1.84138916E+00  7.07938043E+00
    226   0.12698840  0.13271616  4.98586881E+02  1.83921785E+00  7.07857258E+00
    227   0.12756191  0.13407751  4.98335072E+02  1.83703399E+00  7.07775965E+00
    228   0.12813830  0.13545117  4.98079811E+02  1.83483735E+00  7.07694154E+00
    229   0.12871765  0.13683732  4.97821055E+02  1.83262764E+00  7.07611818E+00
    230   0.12930001  0.13823615  4.97558757E+02  1.83040461E+00  7.07528947E+00
    231   0.12988545  0.13964788  4.97292869E+02  1.82816798E+00  7.07445531E+00
    232   0.13047404  0.14107270  4.97023344E+02  1.82591746E+00  7.07361562E+00
    233   0.13106585  0.14251082  4.96750131E+02  1.82365277E+00  7.07277029E+00
    234   0.13166093  0.14396246  4.96473181E+02  1.82137362E+00  7.07191922E+00
    235   0.13225937  0.14542784  4.96192441E+02  1.81907969E+00  7.07106232E+00
    236   0.13286123  0.14690717  4.95907859E+02  1.81677068E+00  7.07019948E+00
    237   0.13346659  0.14840070  4.95619381E+02  1.81444628E+00  7.06933059E+00
    238   0.13407552  0.14990865  4.95326952E+02  1.81210616E+00  7.06845555E+00
    239   0.13468810  0.15143127  4.95030515E+02  1.80974999E+00  7.06757424E+00
    240   0.13530441  0.15296880  4.94730012E+02  1.80737742E+00  7.06668656E+00
    241   0.13592452  0.15452148  4.94425386E+02  1.80498811E+00  7.06579239E+00
    242   0.13654852  0.15608958  4.94116576E+02  1.80258171E+00  7.06489161E+00
    243   0.13717649  0.15767336  4.93803522E+02  1.80015785E+00  7.06398411E+00
    244   0.13780850  0.15927308  4.93486160E+02  1.79771616E+00  7.06306975E+00
    245   0.13844466  0.16088901  4.93164429E+02  1.79525626E+00  7.06214842E+00
    246   0.13908505  0.16252144  4.92838263E+02  1.79277775E+00  7.06121999E+00
    247   0.13972974  0.16417064  4.92507597E+02  1.79028024E+00  7.06028432E+00
    248   0.14037884  0.16583691  4.92172363E+02  1.78776332E+00  7.05934130E+00
    249   0.14103244  0.16752055  4.91832494E+02  1.78522657E+00  7.05839078E+00
    250   0.14169064  0.16922185  4.91487920E+02  1.78266955E+00  7.05743262E+00
    251   0.14235352  0.17094113  4.91138571E+02  1.78009184E+00  7.05646668E+00
    252   0.14302119  0.17267870  4.90784373E+02  1.77749297E+00  7.05549283E+00
    253   0.14369375  0.17443489  4.90425254E+02  1.77487248E+00  7.05451090E+00
    254   0.14437130  0.17621003  4.90061138E+02  1.77222990E+00  7.05352076E+00
    255   0.14505395  0.17800446  4.89691948E+02  1.76956473E+00  7.05252224E+00
    256   0.14574180  0.17981853  4.89317604E+02  1.76687647E+00  7.05151519E+00
    257   0.14643498  0.18165259  4.88938027E+02  1.76416461E+00  7.05049944E+00
    258   0.14713360  0.18350702  4.88553132E+02  1.76142860E+00  7.04947483E+00
    259   0.14783776  0.18538220  4.88162833E+02  1.75866789E+00  7.04844118E+00
    260   0.14854761  0.18727851  4.87767044E+02  1.75588192E+00  7.04739832E+00
    261   0.14926325  0.18919635  4.87365672E+02  1.75307010E+00  7.04634605E+00
    262   0.14998483  0.19113614  4.86958624E+02  1.75023182E+00  7.04528419E+00
    263   0.15071248  0.19309831  4.86545794E+02  1.74736646E+00  7.04421255E+00
    264   0.15144633  0.19508330  4.86127070E+02  1.74447341E+00  7.04313092E+00
    265   0.15218653  0.19709156  4.85702348E+02  1.74155199E+00  7.04203910E+00
    266   0.15293324  0.19912356  4.85271516E+02  1.73860150E+00  7.04093685E+00
    267   0.15368660  0.20117980  4.84834441E+02  1.73562127E+00  7.03982397E+00
    268   0.15444678  0.20326076  4.84391002E+02  1.73261053E+00  7.03870021E+00
    269   0.15521394  0.20536699  4.83941076E+02  1.72956853E+00  7.03756533E+00
    270   0.15598825  0.20749901  4.83484539E+02  1.72649444E+00  7.03641910E+00
    271   0.15676989  0.20965738  4.83021261E+02  1.72338745E+00  7.03526123E+00
    272   0.15755906  0.21184267  4.82551106E+02  1.72024667E+00  7.03409148E+00
    273   0.15835593  0.21405550  4.82073932E+02  1.71707121E+00  7.03290956E+00
    274   0.15916072  0.21629646  4.81589593E+02  1.71386014E+00  7.03171518E+00
    275   0.15997361  0.21856621  4.81097937E+02  1.71061251E+00  7.03050804E+00
    276   0.16079484  0.22086539  4.80598807E+02  1.70732729E+00  7.02928785E+00
    277   0.16162462  0.22319470  4.80092040E+02  1.70400348E+00  7.02805427E+00
    278   0.16246317  0.22555483  4.79577465E+02  1.70063997E+00  7.02680699E+00
    279   0.16331074  0.22794650  4.79054909E+02  1.69723568E+00  7.02554566E+00
    280   0.16416756  0.23037047  4.78524190E+02  1.69378944E+00  7.02426994E+00
    281   0.16503390  0.23282751  4.77985123E+02  1.69030007E+00  7.02297947E+00
    282   0.16591000  0.23531840  4.77437515E+02  1.68676633E+00  7.02167386E+00
    283   0.16679615  0.23784397  4.76881168E+02  1.68318695E+00  7.02035275E+00
    284   0.16769260  0.24040505  4.76315879E+02  1.67956062E+00  7.01901574E+00
    285   0.16859966  0.24300251  4.75741439E+02  1.67588596E+00  7.01766242E+00
    286   0.16951761  0.24563722  4.75157635E+02  1.67216157E+00  7.01629239E+00
    287   0.17044675  0.24831010  4.74564246E+02  1.66838600E+00  7.01490521E+00
    288   0.17138739  0.25102207  4.73961049E+02  1.66455775E+00  7.01350045E+00
    289   0.17233985  0.25377408  4.73347814E+02  1.66067527E+00  7.01207767E+00
    290   0.17330447  0.25656711  4.72724308E+02  1.65673697E+00  7.01063640E+00
    291   0.17428156  0.25940214  4.72090293E+02  1.65274119E+00  7.00917619E+00
    292   0.17527149  0.26228018  4.71445526E+02  1.64868624E+00  7.00769655E+00
    293   0.17627459  0.26520228  4.70789762E+02  1.64457037E+00  7.00619699E+00
    294   0.17729123  0.26816947  4.70122750E+02  1.64039178E+00  7.00467703E+00
    295   0.17832178  0.27118283  4.69444235E+02  1.63614861E+00  7.00313614E+00
    296   0.17936662  0.27424346  4.68753959E+02  1.63183894E+00  7.00157382E+00
    297   0.18042614  0.27735245  4.68051662E+02  1.62746080E+00  6.99998953E+00
    298   0.18150073  0.28051093  4.67337040E+02  1.62301222E+00  6.99838272E+00
    299   0.18259080  0.28372005  4.66609752E+02  1.61849126E+00  6.99675282E+00
    300   0.18369678  0.28698095  4.65869521E+02  1.61389577E+00  6.99509927E+00
    301   0.18481907  0.29029482  4.65116081E+02  1.60922353E+00  6.99342149E+00
    302   0.18595812  0.29366283  4.64349159E+02  1.60447226E+00  6.99171892E+00
    303   0.18711438  0.29708619  4.63568485E+02  1.59963961E+00  6.98999097E+00
    304   0.18828829  0.30056610  4.62773783E+02  1.59472316E+00  6.98823702E+00
    305   0.18948033  0.30410379  4.61964778E+02  1.58972042E+00  6.98645649E+00
    306   0.19069097  0.30770047  4.61141192E+02  1.58462885E+00  6.98464875E+00
    307   0.19192068  0.31135738  4.60302748E+02  1.57944582E+00  6.98281318E+00
    308   0.19316998  0.31507576  4.59449167E+02  1.57416865E+00  6.98094916E+00
    309   0.19443935  0.31885682  4.58580172E+02  1.56879459E+00  6.97905604E+00
    310   0.19572931  0.32270179  4.57695484E+02  1.56332082E+00  6.97713320E+00
    311   0.19704037  0.32661189  4.56794831E+02  1.55774446E+00  6.97517999E+00
    312   0.19837307  0.33058832  4.55877940E+02  1.55206257E+00  6.97319576E+00
    313   0.19972793  0.33463225  4.54944544E+02  1.54627217E+00  6.97117988E+00
    314   0.20110549  0.33874483  4.53994381E+02  1.54037021E+00  6.96913172E+00
    315   0.20250630  0.34292718  4.53027196E+02  1.53435359E+00  6.96705062E+00
    316   0.20393088  0.34718038  4.52042742E+02  1.52821918E+00  6.96493599E+00
    317   0.20537979  0.35150544  4.51040782E+02  1.52196383E+00  6.96278719E+00
    318   0.20685356  0.35590332  4.50021092E+02  1.51558435E+00  6.96060364E+00
    319   0.20835273  0.36037494  4.48983462E+02  1.50907753E+00  6.95838475E+00
    320   0.20987784  0.36492109  4.47927698E+02  1.50244017E+00  6.95612996E+00
    321   0.21142940  0.36954251  4.46853596E+02  1.49566913E+00  6.95383876E+00
    322   0.21300793  0.37423981  4.45760852E+02  1.48876151E+00  6.95151064E+00
    323   0.21461392  0.37901350  4.44649308E+02  1.48171420E+00  6.94914513E+00
    324   0.21624786  0.38386397  4.43518869E+02  1.47452409E+00  6.94674181E+00
    325   0.21791020  0.38879144  4.42369468E+02  1.46718815E+00  6.94430031E+00
    326   0.21960138  0.39379601  4.41201072E+02  1.45970341E+00  6.94182031E+00
    327   0.22132180  0.39887758  4.40013678E+02  1.45206701E+00  6.93930153E+00
    328   0.22307185  0.40403589  4.38807321E+02  1.44427625E+00  6.93674377E+00
    329   0.22485186  0.40927050  4.37582073E+02  1.43632852E+00  6.93414690E+00
    330   0.22666213  0.41458072  4.36338049E+02  1.42822143E+00  6.93151083E+00
